Rocket,mission_code,Agency,date,year,month,day,Location,Lon,Lat,mission detail
Soyuz-FG,Progress MS-10 (71P),Khrunichev State Research and Production Space Center,31/10/2018,2018,10,31,"Baikonur Cosmodrome, Republic of Kazakhstan",63.342,45.92,"The Progress resupply vehicle is an automated, unpiloted version of the Soyuz spacecraft that is used to bring supplies and fuel to the International Space Station."
Proton-M,MLM Nauka,Khrunichev State Research and Production Space Center,07/11/2018,2018,11,7,"Baikonur Cosmodrome, Republic of Kazakhstan",63.342,45.92,N/A
Electron,It's Business Time,Rocket Lab Ltd,31/10/2018,2018,10,31,"Onenui Station, Mahia Peninsula, New Zealand",177.864469,-39.262833,"Electron's first commercial launch will feature two Lemur-2 cubesats for Spire Global, a single cubesat for GeoOptics, a NABEO drag sail demonstrator for High Performance Space Structure Systems, and an IRVINE01 cubesat from the Irvine CubeSat STEM Program."
Electron,VCLS ELaNa XIX,Rocket Lab Ltd,30/11/2018,2018,11,30,"Onenui Station, Mahia Peninsula, New Zealand",177.864469,-39.262833,NASA's signed a Venture Class Launch Services contract with Rocket Lab to launch 14 cubesats as a part of CubeSat Launch Initiative Educational Launch of Nanosatellites (ELaNa) program.
Soyuz 2.1A,Soyuz MS-16,Russian Federal Space Agency (ROSCOSMOS),20/10/2018,2018,10,20,"Baikonur Cosmodrome, Republic of Kazakhstan",63.564003,45.996034,Unknown
Soyuz 2.1B,Lotos-S1,"-39.262833,177.864469",24/10/2018,2018,10,24,"Plesetsk Cosmodrome, Russian Federation",40.457098,62.92883,"Lotos-S1 spacecraft is a part of the Liana constellation, designed for orbital electronic intelligence."
Soyuz 2.1B/Fregat-M,Glonass-M,Russian Space Forces,02/11/2018,2018,11,2,"Plesetsk Cosmodrome, Russian Federation",62.977999,46.073997,"Glonass-M, also known as Uragan-M, are the second generation of Uragan satellite design used for GLONASS satellite navigation system. GLONASS is a Russian space-based navigation system comparable to the similar GPS and Galileo systems. This generation improves on accuracy, power consumption and design life. Each satellite weighs 1415 kg, is equipped with 12 L-band antennas, and has an operational lifetime of 7 years."
Falcon 9 Block 5,Sentinel-6A (Jason-CS),SpaceX,31/10/2018,2018,10,31,"Vandenberg AFB, CA, USA",-120.5895,34.64,"The Sentinel-6A mission, also known as Jason Continuity of Service (Jason-CS), is a partnership between NASA, NOAA, ESA, and EUMETSAT. This mission consists of two parts: the first one continues the long-term global sea surface height data record begun by first Jason satellites in 1992. This part of the mission will provide altimeter data necessary for ocean climate monitoring, ocean modelling and numerical ocean prediction, weather forecasting, marine meteorology, coastal altimetry and modelling. A secondary objective of the mission is to collect high-resolution vertical profiles of temperature, using the Global Navigation Satellite System (GNSS) Radio-Occultation sounding technique, to assess temperature changes in the troposphere and stratosphere and to support numerical weather prediction. Sentinel-6A is to operate in a highly-inclined circular orbit at an altitude of 1336 km, with an operational mission lasting 5 years."
Falcon Heavy,Arabsat-6A,SpaceX,30/11/2018,2018,11,30,"Kennedy Space Center, FL, USA",-80.60428186,28.60822681,unknown
Falcon 9 Block 5,KPLO,SpaceX,30/11/2018,2018,11,30,"Cape Canaveral, FL, USA",-80.57735736,28.56194122,Unknown
Falcon 9 Block 5,Spaceflight SSO-A,SpaceX,19/11/2018,2018,11,19,"Vandenberg AFB, CA, USA",-120.5895,34.64,"Dedicated rideshare launching payloads into sun-synchronous orbit. Payloads include ORS-6, EU:CROPIS, STPSat-5, BlackSky Global-1 to -4, HawkEye Pathfinder 1-3, Iceye, NEXTSat-1, 2 SkySats, Centauri II, and a Flock of Doves."
Falcon 9 Block 5,Es'hail 2,SpaceX,14/11/2018,2018,11,14,"Kennedy Space Center, FL, USA",-80.60428186,28.60822681,Es'hail 2 is a communications satellite operated by a Quatar based company. The satellite will operate at 26 degrees East longitude along a geostationary orbit to provide direct-to-home television services in the Middle East and North Africa region.
Atlas V 401,Landsat 9,United Launch Alliance,30/11/2018,2018,11,30,"Vandenberg AFB, CA, USA",-120.5895,34.64,"Landsat 9 is a partnership between NASA and the U.S. Geological Survey to continue the Landsat program’s critical role in monitoring, understanding and managing the land resources needed to sustain human life. Landsat 9, like Landsat 8, will have a higher imaging capacity than past Landsats, allowing more valuable data to be added to the Landsat’s global land archive. Satellite will operaite in sun-synchronous orbit at an altitude of 705 km and has a mission lifetime of 5 years."
Delta IV Heavy,NROL-71,United Launch Alliance,28/11/2018,2018,11,28,"Vandenberg AFB, CA, USA",-120.6262,34.5815,Classified payload for the U.S. National Reconnaissance Office.
